Month,Real Values,Nominal Values
May 2019,2.92,2.92
Apr 2019,2.8,2.8
Mar 2019,2.53,2.52
Feb 2019,2.33,2.31
Jan 2019,2.27,2.25
Dec 2018,2.39,2.37
Nov 2018,2.67,2.65
Oct 2018,2.89,2.86
Sep 2018,2.87,2.84
Aug 2018,2.88,2.84
Jul 2018,2.89,2.85
Jun 2018,2.94,2.89
May 2018,2.96,2.9
Apr 2018,2.82,2.76
Mar 2018,2.65,2.59
Feb 2018,2.65,2.59
Jan 2018,2.62,2.55
Dec 2017,2.55,2.48
Nov 2017,2.65,2.56
Oct 2017,2.59,2.51
Sep 2017,2.74,2.65
Aug 2017,2.48,2.38
Jul 2017,2.4,2.3
Jun 2017,2.45,2.35
May 2017,2.5,2.39
Apr 2017,2.53,2.42
Mar 2017,2.44,2.33
Feb 2017,2.41,2.3
Jan 2017,2.46,2.35
Dec 2016,2.37,2.25
Nov 2016,2.3,2.18
Oct 2016,2.38,2.25
Sep 2016,2.35,2.22
Aug 2016,2.31,2.18
Jul 2016,2.38,2.24
Jun 2016,2.52,2.37
May 2016,2.42,2.27
Apr 2016,2.26,2.11
Mar 2016,2.11,1.97
Feb 2016,1.9,1.76
Jan 2016,2.09,1.95
Dec 2015,2.19,2.04
Nov 2015,2.32,2.16
Oct 2015,2.46,2.29
Sep 2015,2.54,2.37
Aug 2015,2.83,2.64
Jul 2015,3,2.79
Jun 2015,3.01,2.8
May 2015,2.93,2.72
Apr 2015,2.67,2.47
Mar 2015,2.67,2.46
Feb 2015,2.41,2.22
Jan 2015,2.3,2.12
Dec 2014,2.75,2.54
Nov 2014,3.14,2.91
Oct 2014,3.41,3.17
Sep 2014,3.66,3.41
Aug 2014,3.75,3.49
Jul 2014,3.88,3.61
Jun 2014,3.97,3.69
May 2014,3.96,3.67
Apr 2014,3.95,3.66
Mar 2014,3.82,3.53
Feb 2014,3.64,3.36
Jan 2014,3.6,3.31
Dec 2013,3.56,3.28
Nov 2013,3.54,3.24
Oct 2013,3.65,3.34
Sep 2013,3.86,3.53
Aug 2013,3.91,3.57
Jul 2013,3.94,3.59
Jun 2013,3.98,3.63
May 2013,3.98,3.61
Apr 2013,3.93,3.57
Mar 2013,4.08,3.71
Feb 2013,4.02,3.67
Jan 2013,3.66,3.32
Dec 2012,3.66,3.31
Nov 2012,3.81,3.45
Oct 2012,4.13,3.75
Sep 2012,4.25,3.85
Aug 2012,4.13,3.72
Jul 2012,3.84,3.44
Jun 2012,3.95,3.54
May 2012,4.17,3.73
Apr 2012,4.35,3.9
Mar 2012,4.3,3.85
Feb 2012,4,3.58
Jan 2012,3.79,3.38
Dec 2011,3.67,3.27
Nov 2011,3.8,3.38
Oct 2011,3.88,3.45
Sep 2011,4.07,3.61
Aug 2011,4.11,3.64
Jul 2011,4.14,3.65
Jun 2011,4.18,3.68
May 2011,4.44,3.91
Apr 2011,4.33,3.8
Mar 2011,4.08,3.56
Feb 2011,3.7,3.21
Jan 2011,3.57,3.09
Dec 2010,3.47,2.99
Nov 2010,3.32,2.86
Oct 2010,3.27,2.8
Sep 2010,3.16,2.71
Aug 2010,3.2,2.73
Jul 2010,3.2,2.73
Jun 2010,3.21,2.73
May 2010,3.33,2.84
Apr 2010,3.35,2.85
Mar 2010,3.26,2.77
Feb 2010,3.11,2.64
Jan 2010,3.19,2.72
Dec 2009,3.06,2.61
Nov 2009,3.12,2.65
Oct 2009,3.01,2.55
Sep 2009,3.02,2.55
Aug 2009,3.1,2.62
Jul 2009,3,2.53
Jun 2009,3.13,2.63
May 2009,2.72,2.27
Apr 2009,2.46,2.05
Mar 2009,2.35,1.96
Feb 2009,2.31,1.92
